Date,Time,System Utilization,Eligible/Idle Jobs,Active Jobs
2021/03/12,07:34,93.718,3/3,56
2021/03/12,07:44,47.598,3/5,55
2021/03/12,07:54,47.376,3/5,54
2021/03/12,08:04,47.228,3/5,53
2021/03/12,08:14,47.228,3/5,53
2021/03/12,08:24,47.228,4/7,53
2021/03/12,08:34,45.750,4/7,52
2021/03/12,08:44,44.568,5/11,53
2021/03/12,08:54,42.498,6/11,51
2021/03/12,09:04,42.350,6/12,51
2021/03/12,09:14,43.385,6/12,51
2021/03/12,09:24,41.168,6/13,50
2021/03/12,09:34,39.985,8/15,48
2021/03/12,09:44,39.985,9/17,48
2021/03/12,09:54,39.024,10/20,48
2021/03/12,10:04,39.246,12/24,49
2021/03/12,10:14,43.755,14/30,51
2021/03/12,10:24,39.394,14/29,51
2021/03/12,10:34,39.246,14/25,50
2021/03/12,10:44,41.316,18/36,52
2021/03/12,10:54,41.537,17/36,54
2021/03/12,11:04,39.320,17/33,52
2021/03/12,11:14,40.429,17/32,53
2021/03/12,11:24,39.320,17/31,52
2021/03/12,11:34,40.355,20/38,52
2021/03/12,11:44,40.059,26/53,52
2021/03/12,11:54,39.690,27/54,51
2021/03/12,12:04,39.468,34/68,51
2021/03/12,12:14,39.172,38/74,50
2021/03/12,12:24,39.172,44/86,50
2021/03/12,12:34,39.468,47/93,50
2021/03/12,12:44,42.424,49/97,50
2021/03/12,12:54,41.611,48/95,48
2021/03/12,13:04,41.316,51/102,49
2021/03/12,13:14,41.316,51/97,49
2021/03/12,13:24,42.055,51/99,51
2021/03/12,13:34,41.685,52/99,50
2021/03/12,13:44,43.976,52/101,52
2021/03/12,13:54,38.064,53/102,47
2021/03/12,14:04,100.000,52/103,47
2021/03/12,14:14,100.000,51/98,47
2021/03/12,14:24,100.000,52/101,47
2021/03/12,14:34,100.000,52/100,47
2021/03/12,14:44,100.000,53/102,47
2021/03/12,14:54,100.000,54/104,47
2021/03/12,15:04,99.335,55/107,47
2021/03/12,15:14,99.335,59/114,47
2021/03/12,15:24,99.335,59/114,47
2021/03/12,15:34,99.335,61/118,47
2021/03/12,15:44,99.335,61/118,47
2021/03/12,15:54,100.000,59/116,48
2021/03/12,16:04,100.000,59/113,48
2021/03/12,16:14,99.852,57/112,49
2021/03/12,16:24,99.852,60/115,49
2021/03/12,16:34,99.778,61/116,48
2021/03/12,16:44,99.778,61/116,48
2021/03/12,16:54,99.778,61/116,48
2021/03/12,17:04,99.926,60/115,48
2021/03/12,17:14,99.926,63/120,48
2021/03/12,17:24,99.926,63/120,48
2021/03/12,17:34,99.926,63/120,48
2021/03/12,17:44,99.852,62/119,48
2021/03/12,17:54,99.039,61/120,49
2021/03/12,18:04,99.704,61/119,49
2021/03/12,18:14,97.931,62/118,48
2021/03/12,18:24,95.935,62/118,45
2021/03/12,18:34,100.000,60/116,45
2021/03/12,18:44,100.000,60/114,45
2021/03/12,18:54,100.000,62/118,45
2021/03/12,19:04,100.000,62/118,45
2021/03/12,19:14,100.000,63/120,45
2021/03/12,19:24,100.000,65/125,45
2021/03/12,19:34,100.000,63/122,46
2021/03/12,19:44,100.000,63/120,46
2021/03/12,19:54,100.000,62/119,46
